date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:15	17761/17761	---MC-	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2019:26:00%20GMT	https://www.roboauto.cz/	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/index.html	(from )
20:21:15	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2019:25:59%20GMT	https://www.roboauto.cz/robots.txt		(from )
20:21:15	6499/6499	---M--	200	added ('OK')	image/x-icon	etag:%225a6856cf-1963%22	https://www.roboauto.cz/assets/img/favicons/favicon.ico	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/favicons/favicon.ico	(from https://www.roboauto.cz/)
20:21:15	13193/13193	---M--	200	added ('OK')	image/png	etag:%225a6868de-3389%22	https://www.roboauto.cz/assets/img/favicons/apple-touch-icon.png	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/favicons/apple-touch-icon.png	(from https://www.roboauto.cz/)
20:21:15	9807/9807	---M--	200	added ('OK')	image/png	etag:%225a6856a8-264f%22	https://www.roboauto.cz/assets/img/favicons/apple-touch-icon-72x72.png	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/favicons/apple-touch-icon-72x72.png	(from https://www.roboauto.cz/)
20:21:16	10239/10239	---M--	200	added ('OK')	image/png	etag:%225a6856bd-27ff%22	https://www.roboauto.cz/assets/img/favicons/apple-touch-icon-114x114.png	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/favicons/apple-touch-icon-114x114.png	(from https://www.roboauto.cz/)
20:21:16	23176/23176	---M--	200	added ('OK')	text/css	etag:%225a62a25c-5a88%22	https://www.roboauto.cz/assets/css/layout.min.css	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/css/layout.min.css	(from https://www.roboauto.cz/)
20:21:16	149682/149682	---M--	200	added ('OK')	image/jpeg	etag:%225a636cae-248b2%22	https://www.roboauto.cz/assets/img/siteContent/banner1.jpg	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/siteContent/banner1.jpg	(from https://www.roboauto.cz/)
20:21:16	2706/2706	---M--	200	added ('OK')	image/png	etag:%225a5a6518-a92%22	https://www.roboauto.cz/assets/img/logos/udacity-didi.png	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/logos/udacity-didi.png	(from https://www.roboauto.cz/)
20:21:17	6484/6484	---M--	200	added ('OK')	image/png	etag:%225a5a658c-1954%22	https://www.roboauto.cz/assets/img/icons/advantages_fusion.png	C:/Dev/Roboauto/Roboauto/www.roboauto.cz/assets/img/icons/advantages_fusion.png	(from https://www.roboauto.cz/)
